Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
2074,Shoemaker,1974 UA,MC,13.8,VISNIR,10,*,,Sw,0.4638,0.0669,0.0595,0.1729,0.0273,-0.0475,2003-09-30,IRTF 3m,S-Group
2078,Nanking,1975 AD,MC,12.9,VISNIR,82,*,,S,0.0845,-0.0051,0.0693,-0.0204,-0.0086,0.0361,2010-07-12,IRTF 3m,S-Group
2099,Opik,1977 VB,MC,15.2,VISNIR,10,*,,Ch,0.1186,-0.5911,0.021,-0.1843,0.0136,0.0094,2005-10-08,IRTF 3m,C-Group
2100,Ra-Shalom,1978 RA,ATE,16.1,VISNIR,10,68,,B,-0.0796,-0.2692,-0.0861,-0.1476,-0.0961,-0.0367,2003-08-18,IRTF 3m,C-Group
2102,Tantalus,1975 YA,APO,16.0,VISNIR,5,74,,Sr,0.0849,-0.2038,0.2673,0.0416,0.0387,0.1183,2011-07-04,IRTF 3m,S-Group
2201,Oljato,1947 XC,APO,15.2,VISNIR,10,59,,Sq,-0.0075,-0.3925,0.1167,0.0432,-0.0134,0.0069,2011-11-15,IRTF 3m,S-Group
2212,Hephaistos,1978 SB,APO,13.9,VISNIR,53,*,,Q,0.0376,-1.0195,0.3726,0.039,0.033,0.1289,2006-12-22,IRTF 3m,S-Group
2335,James           ,1974 UB,MC,13.4,VISNIR,10,*,,Sw,0.2732,0.2028,-0.016,0.058,-0.1292,0.0547,2005-10-08,IRTF 3m,S-Group
2340,Hathor,1976 UA,ATE,20.2,VISNIR,10,*,10,Sq,0.0639,-0.4072,0.1269,0.0844,-0.0032,-0.0984,2014-10-22,IRTF 3m,S-Group
3102,Krok,1981 QA,AMO,16.1,VISNIR,5,*,,Sqw,0.2562,-0.2474,0.0963,0.185,-0.0448,-0.0047,2000-10-09,IRTF 3m,S-Group
3103,Eger,1982 BB,APO,15.4,VISNIR,10,*,,Xe,0.135,0.1643,-0.2575,-0.0901,-0.059,0.048,2001-06-21,IRTF 3m,X-Group
3122,Florence,1981 ET3,AMO,14.1,VISNIR,5,*,,Sqw,0.3714,-0.3537,0.1938,0.2137,0.0592,-0.0079,2004-01-26,IRTF 3m,S-Group
3198,Wallonia,1981 YH1,MC,13.0,VISNIR,10,*,,Sqw,0.3318,-0.1528,0.0439,0.2196,0.158,-0.0933,2005-05-10,IRTF 3m,S-Group
3199,Nefertiti,1982 RA,AMO,14.8,VISNIR,10,*,,K,0.1719,-0.5722,0.0123,0.1806,0.0653,-0.002,2001-01-30,IRTF 3m,S-Group
3200,Phaethon,1983 TB,APO,14.6,VISNIR,10,*,,B,-0.1554,-1.062,0.1712,-0.2035,-0.1171,-0.0002,2004-12-10,IRTF 3m,C-Group
3255,Tholen,1980 RA,MC,13.3,VISNIR,10,*,,S,0.102,0.1701,0.0557,0.0167,0.0126,0.0452,2002-09-16,IRTF 3m,S-Group
3288,Seleucus,1982 DV,AMO,15.2,VISNIR,5,*,,Sqw,0.3243,-0.1279,0.0256,0.1575,0.0562,-0.0391,2011-04-30,IRTF 3m,S-Group
3352,MCAuliffe,1981 CW,AMO,15.8,VISNIR,5,*,,Sw,0.2652,0.2969,-0.0225,0.1579,-0.1417,-0.0151,2012-03-23,IRTF 3m,S-Group
3361,Orpheus,1982 HR,APO,19.0,VISNIR,80,*,,Q,0.0725,-1.1449,0.4426,0.0842,-0.1081,0.1439,2005-10-08,IRTF 3m,S-Group
3402,Wisdom,1981 PB,MC,15.0,VISNIR,69,*,,S,0.2417,0.2404,-0.0659,0.0918,-0.0128,-0.0682,2003-09-30,IRTF 3m,S-Group
3552,Don Quixote,1983 SA,AMO,12.9,VISNIR,5,*,,D,0.9218,0.0327,-0.2295,-0.1702,0.0043,-0.0801,2009-10-25,IRTF 3m,D-type
3554,Amun,1986 EB,ATE,15.8,VISNIR,26,*,,X,0.3179,-0.3122,-0.0772,-0.1518,0.0243,0.0015,2011-04-05,IRTF 3m,X-Group
3635,Kreutz,1981 WO1,MC,14.6,VISNIR,10,*,,Srw,0.2828,0.1597,0.1195,0.0244,0.0417,0.0106,2005-11-12,IRTF 3m,S-Group
3671,Dionysus,1984 KD,AMO,16.4,VISNIR,10,*,,Xn,0.0154,-0.3452,-0.0314,-0.1899,0.0559,0.0647,2010-05-10,IRTF 3m,X-Group
3674,Erbisbuhl,1963 RH,MC,12.0,VISNIR,10,*,,S,0.1023,-0.0387,0.0709,-0.016,-0.0138,0.0157,2010-07-12,IRTF 3m,S-Group
3691,Bede,1982 FT,AMO,14.5,VISNIR,10,*,,Xk,0.115,-0.1917,-0.1471,-0.0769,0.0114,0.0486,2008-03-10,IRTF 3m,X-Group
3752,Camillo,1985 PA,APO,15.2,VISNIR,15,15,,Ld,,,,,,,,,S-Group
3753,Cruithne,1986 TO,ATE,15.6,VISNIR,10,*,,Q,0.2042,-0.5401,0.2831,0.0845,0.0075,-0.021,2005-10-08,IRTF 3m,S-Group
3833,Calingasta,1971 SC,MC,15.3,VISNIR,10,*,,C,0.0727,-0.5282,0.0094,-0.171,-0.0155,-0.0183,2010-07-12,IRTF 3m,C-Group
3858,Dorchester,1986 TG,MC,13.6,VISNIR,10,*,,Srw,0.2504,0.0496,0.1074,0.2805,-0.141,0.0381,2004-02-20,IRTF 3m,S-Group
3908,Nyx,1980 PA,AMO,17.3,VISNIR,6,*,,V,-0.019,0.6021,1.3052,-0.31,0.0367,0.0835,2004-09-15,IRTF 3m,V-type
3920,Aubignan        ,1948 WF,MC,12.9,VISNIR,10,*,,Sw,0.3502,-0.0646,0.0535,0.2375,-0.0314,0.0217,2002-09-16,IRTF 3m,S-Group
